"ID","Malt","PPG","PotentialSG","Manufacturer","Moisture","ExtractLKG","ExtractPercent","ColourEBCIMin","ColourEBCIMax","ColourEBCEMin","ColourEBCEMax","ColourLovibondMin","ColourLovibondMax","Nitrogen","Protien","RatioSNRMin","RatioSNRMax","RatioKIMin","RatioKIMax","RatioSTMin","RatioSTMax","IDP","EDPWK","ADPLinter","Max","Characteristics","Usage"
"115","Maris Otter Pale Ale","38","1.038","6","4","308","80","4","6","5","7.5","2.3","3","1.6","10","38","42","40","45","38","42","0","0","0","100","Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.","Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts."
"116","Halcyon Pale Ale","38","1.038","6","4","306","80","4","6","5","7.5","2.3","3","1.65","10.5","38","42","40","45","38","42","0","0","0","100","Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.","Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts."
"117","Golden Promise Pale Ale","38","1.038","6","4","308","80","4","6","5","7.5","2.3","3","1.6","10","38","42","40","45","38","42","0","0","0","100","Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.","Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts."
"118","Winter Barley Pale Ale","38","1.038","6","4","306","80","4","6","5","7.5","2.3","3","1.65","10.5","38","42","40","45","38","42","0","0","0","100","Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.","Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts."
"119","Spring Barley Pale Ale","38","1.038","6","4","308","80","4","6","5","7.5","2.3","3","1.65","10.5","38","42","40","45","38","42","0","0","0","100","Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.
Well modified producing consistent extract within the standard ale colour range giving sweet & flavourful worts.","Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts.
Ale malts are the main ingredient for all types of bitters, milds and stouts."
"120","Maris Otter Low Colour","38","1.038","6","4","306","80","2.5","3.5","3","5","1.5","2.1","1.6","10","38","42","40","45","38","42","0","0","0","100","Light golden colour & sweet wort.","90% - 100% of pale ale brews."
"121","Lager","36","1.036","6","4","306","80","2.5","3.5","3","5","1.5","2.1","1.65","10.5","38","42","40","45","38","42","0","0","0","100","Light golden colour & sweet wort.","90% - 100% of lager brews."
"122","Mild Ale","37","1.037","6","4","306","80","6","7","7.5","9","3.5","4","1.65","10.5","38","42","40","45","38","42","0","0","0","100","Darker wort than Pale Ale malts.","Base for bitters and stouts."
"123","Vienna","35","1.035","6","4","304","79","8","12","10","15","4","7","1.65","10.5","38","42","40","45","38","42","0","0","0","20","Darker wort, aromatic, sweet, flavourful wort.","Lager & Ales up to 20% of grist."
"124","Munich Malt","37","1.037","6","4","304","79","18","24","22","30","9","12","1.65","10.5","38","42","40","45","38","42","0","0","0","20","Darker wort, aromatic, sweet, flavourful wort.","Lager & Ales up to 20% of grist."
"125","Wheat","37","1.037","6","4.5","310","80","2.5","4","3","5","1.5","2.1","1.95","12.2","38","42","40","45","38","42","0","0","0","40","Head retention & lacing, dry biscuity flavour.","Wheat beers and adjunct, up to 40% of grist."
"126","Oats","32","1.032","6","4.5","230","60","4","6","5","7.5","1.5","3","1.9","11.9","26","32","29","34","26","32","0","0","0","10","Enhance body, flavour of dark beers, sweet kernels.","Adjunct, 5% - 10% of grist."
"127","Rye","37","1.037","6","4.5","290","75","5","8","7","10","2.3","3.8","1.75","10.9","38","44","41","46","38","44","0","0","0","10","Sweet, biscuity and flavourful.","Adjunct, 5% - 10% of grist."
"128","Pale Caramalt","33","1.033","6","7.5","270","70","10","15","12","20","10","12","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Very pale, light, sweet wort.","Adjunct, 5% - 10% of grist (pale ales, lagers)."
"129","Caramalt","34","1.034","6","7","270","70","20","30","25","40","20","30","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Pale golden colour. Very light, sweet malt flavour.","Adjunct, 5% - 10% of grist (pale ales, lagers)."
"130","Pale Crystal","33","1.033","6","6.5","270","70","50","70","60","90","40","50","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Golden wort. Light, sweet malty flavour.","Adjunct, 5% - 10% of grist (pale ales, lagers)."
"131","Crystal","34","1.034","6","5","270","70","120","140","150","175","60","70","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Orange wort. Caramel-toffee flavour.","Adjunct, 5% - 10% of grist (ales)."
"132","Crystal II","33","1.033","6","4.5","270","70","160","180","200","225","80","90","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Darker wort. Cinder-toffee flavour.","Adjunct, 5% - 10% of grist (ales)."
"133","Dark Crystal","33","1.033","6","4.5","265","70","200","240","250","300","110","130","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Adds ruby red colour to beer. Burnt toffee flavour.","Adjunct, 5% - 10% of grist (ales)."
"134","Red Crystal","35","1.035","6","4.5","265","70","300","340","350","450","0","0","1.85","0","0","0","0","0","0","0","0","0","0","10","Adds ruby red colour to beer. Burnt toffee flavour.","Adjunct, 5% - 10% of grist (ales)."
"135","Crystal Wheat","34","1.034","6","5","270","70","100","150","125","190","45","75","1.95","12.2","0","0","0","0","0","0","0","0","0","10","Dry, more ""biscuity"" than Crystal malt.","Adjunct, 5% - 10% of grist (ales)."
"136","Crystal Rye","34","1.034","6","5","270","70","100","200","125","250","45","95","1.85","11.6","0","0","0","0","0","0","0","0","0","10","Dry liquorice toffee flavour.","Adjunct, 5% - 10% of grist (ales)."
"137","Amber","33","1.033","6","4.5","270","70","90","110","110","140","38","48","1.85","11.6","0","0","0","0","0","0","0","0","0","0","Dry, mild coffee flavour, amber colour.","Adjunct for bitters."
"138","Brown","33","1.033","6","4.5","270","70","140","160","175","200","66","76","1.85","11.6","0","0","0","0","0","0","0","0","0","5","Dry, mild coffee flavour, darker amber hue.","Adjunct for bitters."
"139","Pale Chocolate","33","1.033","6","4.5","270","70","450","550","560","690","200","260","1.85","11.6","0","0","0","0","0","0","0","0","0","5","Smooth coffee flavour, brown colour.","Adjunct for bitters, milds & stouts. 3 - 5% of grist."
"140","Chocolate","34","1.034","6","4.5","270","70","880","1000","1100","1250","390","450","1.85","11.6","0","0","0","0","0","0","0","0","0","5","Strong coffee flavour, darker brown colour.","Adjunct for bitters, milds & stouts. 3 - 5% of grist."
"141","Black","33","1.033","6","4.5","270","70","1100","1400","1300","1600","490","600","1.85","11.6","0","0","0","0","0","0","0","0","0","5","Strong, burnt coffee flavour. Dark brown.","Adjunct for bitters, milds & stouts. 3 - 5% of grist."
"142","Roasted Barley","32","1.032","6","4.5","265","68.5","1100","1400","1300","1600","490","600","1.85","11.6","0","0","0","0","0","0","0","0","0","0","Sharp, dry, bitter flavour. Dark brown.","Adjunct for bitters, milds & stouts."
"143","Roasted Wheat","32","1.032","6","4.5","270","70","600","1000","700","1100","250","400","1.95","12.2","0","0","0","0","0","0","0","0","0","5","Softer flavour than roast barley malts.","Adjunct for bitters, milds & stouts. 3 - 5% of grist."
"144","Roasted Rye","0","0","6","4.5","260","67.5","350","700","450","850","140","240","1.85","11.6","0","0","0","0","0","0","0","0","0","5","Dry, biscuity flavour.","Adjunct for bitters, milds & stouts. 3 - 5% of grist."
"145","Peated","34","1.034","6","5.5","308","80","3","5","3.8","6.5","1.5","3.5","1.6","10.3","40","44","40","44","9.1","9.7","0","0","0","10","Phenol: Medium: 15-25ppm","Flavour and aroma adjunct."
"146","Torrefied Wheat","35","1.035","6","10","280","72","2.5","3.5","3","4.5","1.5","3","2.1","13.1","0","0","0","0","0","0","0","0","0","10","Head retention & lacing in ales.","Adjunct up to 10% for ales."
"147","Flaked Barley","35","1.035","6","10","250","64","2.5","3.5","3","4.5","1.5","3","2.1","13.1","0","0","0","0","0","0","0","0","0","10","Little flavour, dilutes nitrogen.","Adjunct up to 10% for stouts."
"148","Flaked Maize","34","1.034","6","10","290","75","2.5","3.5","3","4.5","1.5","3","0","0","0","0","0","0","0","0","0","0","0","10","Flavour reducing, smooth.","Adjunct up to 10% for lagers."
"149","Pale Ale","38","1.038","11","4.5","0","79","0","0","5.5","7.5","2.6","3.4","0","11.5","0","0","37","43","0","0","0","0","0","100","Produced from quality two-row spring barley. Provides excellent body and pale color. Processed
specifically for ?English? characteristics. Highly modified for use with both single- or multi-step
infusion. Perfect foundation grist for all ales, but yields great results in lager-making, too. Low
protein and glucan levels for easy lautering and high extract efficiency. Provides excellent body,
pale color, and complex maltiness to finished brew. Flavor: notes of bread, died fruits and honey","Ale; all other beer types; Porter; Lager; Stout; Belgian Specialty Beers"
"150","Floor-Malted Bohemian Pilsner","38","1.038","11","5.5","0","79","0","0","3","5","1.6","2.3","0","11.5","0","0","38","44","0","0","0","0","0","100","Produced from quality czech-grown two-row spring barley (authentic Bohemian barley varieties
Bojos and Tolar). Made in an orginal floor malting facility. Produces authentic traditional Bohemianstyle
malt flavors and aromas. Traditional, authentic floor malt produced in Czech. Republic
according to highest Weyermann? quality standards. Flavor: intense malt aroma, notes of honey and
biscuit","Authentic Bohemian Pilsners; Pils; Light Beer; alcohol-reduced Beer; non-alcoholic
Beer; all other beer types"
"151","Munich I","38","1.038","11","4.5","0","78","0","0","12","18","5.1","7","0","12.5","0","0","37","46","0","0","0","0","0","100","Produced from quality two-row spring barley. Imparts strongly malty notes to finished beer.
Intended mainly for dark ales and lagers. Flavor: characteristic brewing malt with rich malt aromas;
notes of light caramel, honey and bread","Munich-Style Helles; Mai-Bock; Dark Beer; Bock Beer; Festbiere; October Beer;
Stout; Maerzenbier; Dark Ale;"
"152","Munich II","37","1.037","11","4","0","78","0","0","29","25","8","9.9","0","12.5","0","0","38","47","0","0","0","0","0","100","Produced from quality two-row spring barley. Imparts strongly malty notes to finished beer.
Intended mainly for dark ales and lagers. Flavor: richt malt aroma, notes of light caramel, honey and
bread","Dark Beer; Dubbel; Festbiere; Stout; Bock Beer; October Beer; Maerzenbier;"
"153","Pale Rye","39","1.039","11","6","0","81","0","0","4","10","2","4.3","0","0","0","0","0","0","0","0","0","0","0","60","Produced from quality rye. Lends biscuit-like, smooth, almost oily, (typical) rye component to
finished beer. Flavor: strong emphasis on typical rye aroma; malty-sweet; notes of bread and honey","Rye Ale; Multigrain Beers; Rye Lager; top-fermented Specialty Beers; Specialty
Beer"
"154","Pilsner","37","1.037","11","5","0","80.5","0","0","2.5","4.5","1.5","2.2","0","11.5","0","0","36","42.5","0","0","0","0","0","100","Produced from quality two-row spring barley. Perfect foundation grist for all lagers. Excellent
modification and favorable protein and glucan levels. Excellent lautering properties. Provides
finished beer with substantial body and mouthfeel, as well as good foam development and head
retention. Very flexible grain with high extract efficiency for reliable lager-making in any brew
house, including pub ale systems. Yields optimum results for any process from single-step to multistep
infusion, to decoction. Flavor: malty-sweet and gentle notes of honey","alcohol-reduced Beer; all other beer types; Pils; non-alcoholic Beer;"
"155","Vienna","37","1.037","11","5.5","0","79","0","0","6","9","2.8","3.9","0","12.5","0","0","37","45.5","0","0","0","0","0","100","Produced from quality two-row spring barley. Full bodied, golden colored smooth tasting beers.
Imparts malty notes to finished beer. Intended for ales and lagers. Flavor: malty-sweet, gentle
notes of honey and nuts (almond, hazelnut)","Vienna Beer Style; Festbiere; Maerzenbier; Mai-Bock; Ale; Lager; Dark Ale; Stout;"
"156","Pale Wheat","39","1.039","11","5.5","0","82","0","0","3","5","1.7","2.4","0","13","0","0","37.5","47","0","0","0","0","0","100","Produced from quality wheat. Ideal foundation grain for pale Weizenbiers, such as Hefeweizen and
Kristallweizen. Essential ingredient in North American pub wheat ales. Adds creaminess, body, and
complex wheat flavors to top-fermented beers. Flavor: notes of bread, nuts, biscuit, toffee and
light caramel","""Hefe-Weizen""; German-Style Wheat Ale; ""Dunkle-Weizen""; Weizenbock; Wheat
Beer; ""K?lsch"";"
"157","Melanoidin","37","1.037","11","4.5","0","75","0","0","60","80","23","31","0","0","0","0","0","0","0","0","0","0","0","20","Produced from quality spring barley. High degree of modification of both proteins and starches.
Excellent friability. Low ?-glucan values. Highly acidic. Highly malt-aromatic. Adds deep-amber to
red-brown color, maltiness, body, and mouthfeel to finished beer. Promotes flavor stability. Flavor:
intense maltiness; notes of honey and biscuit","Red Colored Beer; Red Ales; Dark Ale; Amber Beer; Dark Beer; Lager; Kellerbiere;
Bock Beer; Scottish Ales; Irish-Style Red Ale;"
"158","Dark Wheat","39","1.039","11","5","0","81","0","0","15","20","6.2","8.1","0","14","0","0","33","47","0","0","0","0","0","100","Produced from quality wheat. Signature malt for Bavarian Dunkelweizen and similar beers. Adds
creaminess, body, and complex wheat flavors, as well as some color to top-fermented beers. Flavor:
notes of bread, biscuit, honey, toffee, and caramel","""Dunkle-Weizen""; ""Hefe-Weizen""; top-fermented ""Schankbier""; Wheat Beer;
""K?lsch""; Weizenbock; ""Altbier"";"
"159","Extra Pale Premium Pilsner","38","1.038","11","4.5","0","90.5","0","0","2","2.5","1.2","1.4","0","11.5","0","0","37.5","40","0","0","0","0","0","100","Produced from quality two-row spring barley. Produces authenic Pilsner-style flavors and aromas,
extra pale beer color. Perfect foundation grist for all extra pale lagers. Excellent modification and
favorable protein and glucan levels. Excellent lautering properties. Provides finished beer with
substantial body and mouthfeel, as well as good foam development and head retention. Very flexible
grain with high extract efficiency for reliable lager-making in any brew house, including pub ale
systems. Yields optimum results for any process from single-step to multi-step infusion, to
decoction. Flavor: malty-sweet and gentle notes of honey","Pilsners; Pils; non-alcoholic Beer; alcohol-reduced Beer; all other beer types;"
"160","Floor-Malted Bohemian Dark","38","1.038","11","4.5","0","78","0","0","12","20","5.1","8.1","0","12","0","0","36.5","45.5","0","0","0","0","0","100","Produced from quality czech-grown two-row spring barley (authentic Bohemian barley varieties
Bojos and Tolar). Intensified malt aroma and taste, malt sweetness. Traditional, authentic dark floor
malt produced in Czech. Republic according to highest Weyermann? quality standards. Flavor:
intensely malt aroma; malty-sweet; notes of bread and biscuit","American-Style Dark Lager; Dark Ale; Bohemian Dark Lagers; Bohemian Festival
Beers; Bohemian Bock Beer; Dubbel;"
"161","Acidulated","27","1.027","11","10","0","0","0","0","2.5","12","1.5","5.1","0","0","0","0","0","0","0","0","0","0","0","10","Produced from quality spring barley. Lowers mash, wort, and beer pH. Contains 1?2% lactic acid.
Enhances enzymatic activity in mash and improves extract efficiency. Lightens color in pale brews.
Enhances stability and extends shelf life of finished beer. Promotes well-rounded, complex beer
flavor. Recommended Quantities: Each 1% lowers mash pH by 0.1. Flavor: fruity and sour","Pils; Lager; Wheat Beer; alcohol-reduced Beer; all other beer types;"
"162","Abbey","33","1.033","11","4.5","0","75","0","0","40","50","16","19","0","0","0","0","0","0","0","0","0","0","0","50","Produced from quality spring barley. High degree of modification of both proteins and starches.
Excellent friability. Low beta-glucan values. Highly acidic. Highly malt-aromatic. Adds deep-amber to
red-brown color, maltiness, body, and mouthfeel to finished beer. Promotes flavor stability. Flavor:
intense malt aroma; notes of honey, nuts and chocolate","Dubbel; Ale; Belgian-Style Abbey Ale; Belgian- and French-Style Ale; Belgian-Style
Strong Specialty Ale; Belgian Specialty Beers; Belgian ""Blonde"" Beers; Belgian
""Bruin"" Beers; Festbiere; Belgian Amber Beers; Belgian Ales; Fruit Beers; Tripel;"
"163","CaraWheat","37","1.037","11","6.5","0","68","0","0","110","140","42","53","0","0","0","0","0","0","0","0","0","0","0","15","Produced from quality wheat. Nearly 100% level of caramelization. Adds creaminess, body, color, and
some phenolic wheat flavors to top-fermented beers. Flavor: mild notes of caramel, almonds, biscuit;
bready aroma","Belgian-Style Witbier; Red Ales; ""Hefe-Weizen""; top-fermented Specialty Beers;
""Dunkle-Weizen"";"
"164","CaraRye","32","1.032","11","6.5","0","74","0","0","150","200","57","76","0","0","0","0","0","0","0","0","0","0","0","15","Produced from quality rye. Carefully caramelized brown kernels lend a slightly aromatic, biscuit-like,
smooth rye component and dark-brown color to finished beer. Flavor: typical rye aroma; intense
aroma of bread, coffee, dark chocolate, and dried fruits","Specialty Beer; Rye Lagers; Multigrain Beers; Ale; Rye Ale;"
"165","CaraRed","36","1.036","11","7.5","0","74","0","0","40","60","16","23","0","0","0","0","0","0","0","0","0","0","0","25","Produced from quality spring barley. Perfect for adding red color values to red ales and Vienna
lagers. Slightly aromatic. Contributes gentle maltiness as well as some body to finished beer. Flavor:
malty-sweet; notes of caramel, honey and biscuit","""Hefe-Weizen""; Red Ales; Scottish Ales; ""Altbier""; Bock Beer; Wheat Beer; Red
Colored Beer; Amber Beer;"
"166","CaraPils","33","1.033","11","7","0","75","0","0","2.5","6.5","1.5","2.9","0","0","0","0","0","0","0","0","0","0","0","40","Produced from quality spring barley. Characteristics: for enhanced foam production, head retention,
and fuller body and mouthfeel. Flavor: malty-sweet; gentle notes of caramel","Pils; Light Beer; alcohol-reduced Beer; non-alcoholic Beer; Lager;"
"167","CaraMunich Type III","37","1.037","11","6.5","0","73","0","0","140","160","53","60.5","0","0","0","0","0","0","0","0","0","0","0","10","Produced from quality spring barley. Golden-brown, slightly aromatic kernels. Contributes darkamber
to deep-coppery color to finished beer. Adds mouthfeel as well as rich malt accent to brew.
Flavor: intense caramel aroma; notes of biscuit","Festbiere; Amber Beer; Bock Beer; Light Beer; Dark Ale; October Beer; Brown Ale;"
"168","CaraMunich Type II","36","1.036","11","6.5","0","73","0","0","110","130","42","49","0","0","0","0","0","0","0","0","0","0","0","10","Produced from quality spring barley. Golden-brown, slightly aromatic kernels. Contributes darkamber
to deep-coppery color to finished beer. Adds mouthfeel as well as rich malt accent to brew.
Flavor: intense caramel aroma; notes of biscuit","Dark Beer; Festbiere; Light Beer; Nourishing Beer; Bock Beer; Dark Ale; October
Beer; Red Ales; Brown Ale;"
"169","CaraMunich Type I","36","1.036","11","6.5","0","73","0","0","80","100","31","38","0","0","0","0","0","0","0","0","0","0","0","10","Produced from quality spring barley. Golden-brown, slightly aromatic kernels. Contributes darkamber
to deep-coppery color to finished beer. Adds mouthfeel as well as rich malt accent to brew.
Flavor: intense caramel aroma; notes of biscuit","Dark Beer; Festbiere; Nourishing Beer; Light Beer; Bock Beer; October Beer;
Dark Lagers; Red Ales; Brown Ale; Amber Beer;"
"170","CaraHell","36","1.036","11","9","0","74","0","0","20","30","8.1","11.8","0","0","0","0","0","0","0","0","0","0","0","30","Produced from quality spring barley. Golden-brown, slightly aromatic kernels. Provide finished beer
with full, rounded aroma, depth of color, and firm, creamy head. Flavor: malty-sweet; gentle notes
of caramel","Lager; ""Hefe-Weizen""; Ale; Festbiere; Mai-Bock; Light Beer; Bock Beer;
Maerzenbier; alcohol-reduced Beer; non-alcoholic Beer;"
"171","Carafa Type 3","36","1.036","11","3.8","0","65","0","0","1300","1500","488","563","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. Carefully roasted to add coffee-brown color, espresso-like
bouquet, dark-beer aroma, and body to finished beer. Produces opaque beer with mild, but
noticeable roasted aftertaste. Flavor: notes of coffee, cocoa, dark chocolate, intense roastiness","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Black beer (Schwarzbier); Dark
Lagers; Dark Ale;"
"172","Carafa Type 2","36","1.036","11","3.8","0","65","0","0","1100","1200","413","450","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. Carefully roasted to add coffee-brown color, espresso-like
bouquet, dark-beer aroma, and body to finished beer. Produces opaque beer with mild, but
noticeable roasted aftertaste. Flavor: notes of coffee, cocoa, dark chocolate, intense roastiness","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Black beer (Schwarzbier); Dark
Lagers; Dark Ale;"
"173","Carafa Type 1","36","1.036","11","3.8","0","65","0","0","800","1000","300","375","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. Carefully roasted to add coffee-brown color, espresso-like
bouquet, dark-beer aroma, and body to finished beer. Produces opaque beer with mild, but
noticeable roasted aftertaste. Flavor: notes of coffee, cocoa, dark chocolate, intense roastiness","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Black beer (Schwarzbier); Dark
Lagers; Dark Ale;"
"174","Carafa Special Type 3","32","1.032","11","3.8","0","65","0","0","1300","1500","488","563","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. CARAFA SPECIAL? is the de-husked version of CARAFA?.
Using our unique process, we remove the husks from carefully selected grains before malting and
roasting them. Reduces astringency and bitterness, while adding coffee-brown color, a coffee-like
bouquet, darkbeer aroma, as well as body and mouthfeel to finished beer but without introducing
harsh flavors. Even small amounts of CARAFA SPECIAL? malts in the grain bill produce dark beers
of unusual smoothness and mildness, with a firm, creamy, white head. Flavor: notes of coffee, cocoa
and dark chocolate","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Black beer (Schwarzbier);"
"175","Carafa Special Type 2","32","1.032","11","3.8","0","65","0","0","1100","1200","413","450","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. CARAFA SPECIAL? is the de-husked version of CARAFA?.
Using our unique process, we remove the husks from carefully selected grains before malting and
roasting them. Reduces astringency and bitterness, while adding coffee-brown color, a coffee-like
bouquet, darkbeer aroma, as well as body and mouthfeel to finished beer but without introducing
harsh flavors. Even small amounts of CARAFA SPECIAL? malts in the grain bill produce dark beers
of unusual smoothness and mildness, with a firm, creamy, white head. Flavor: notes of coffee, cocoa
and dark chocolate","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Dark Lagers; Black beer
(Schwarzbier);"
"176","Carafa Special Type 1","32","1.032","11","3.8","0","65","0","0","800","1000","300","375","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. CARAFA SPECIAL? is the de-husked version of CARAFA?.
Using our unique process, we remove the husks from carefully selected grains before malting and
roasting them. Reduces astringency and bitterness, while adding coffee-brown color, a coffee-like
bouquet, darkbeer aroma, as well as body and mouthfeel to finished beer but without introducing
harsh flavors. Even small amounts of CARAFA SPECIAL? malts in the grain bill produce dark beers
of unusual smoothness and mildness with a firm, creamy, white head. Flavor: notes of coffee, cocoa
and dark chocolate","Porter; Dark Beer; Bock Beer; Stout; ""Altbier""; Black beer (Schwarzbier); Dark
Ale;"
"177","CaraBohemian","33","1.033","11","6.5","0","73","0","0","170","220","64","83","0","0","0","0","0","0","0","0","0","0","0","15","Produced from quality spring barley. Dark Golden-brown, slightly aromatic kernels. Contributes darkamber
to deepcoppery color to finished beer. Adds mouthfeel as well as a rich malt accent to brew.
Aroma: bread, dark caramel, and toffee","Bohemian Lagers; Bohemian Bock Beer; Bohemian Specialty Beers; Porter; Stout;
Ale; Bock Beer; Bohemian Dark Lagers;"
"178","CaraBelge","33","1.033","11","9","0","74","0","0","30","35","11.8","13.7","0","0","0","0","0","0","0","0","0","0","0","30","Produced from quality spring barley. Golden-brown, slightly aromatic kernels. Provide finished beer
with full, rounded aroma, depth of color, and firm, creamy head. Flavor: dried fruits, nuts and
caramel","non-alcoholic Beer; Belgian-Style Witbier; Belgian Amber Beers; Belgian ""Blonde""
Beers; Belgian ""Bruin"" Beers; Dubbel; Tripel; Grodziskie (Gr?tzer Beer); Fruit
Beers; Light Beer; Mai-Bock; Belgian- and French-Style Ale;"
"179","CaraAroma","36","1.036","11","7","0","74","0","0","350","450","131","169","0","0","0","0","0","0","0","0","0","0","0","15","Produced from quality spring barley. Flavor: notes of roasted nuts, dark caramel and dried fruits.
Enhances mouthfeel. Adds deep red color. Promotes flavor stability.","Barley Wine-Style Ale; Amber Beer; Porter; Stout; Bock Beer; October Beer;
Lager; Dark Ale; Irish-Style Red Ale; Maerzenbier; Mai-Bock;"
"180","CaraAmber","36","1.036","11","4.5","0","75","0","0","60","80","23","31","0","0","0","0","0","0","0","0","0","0","0","20","Produced from quality spring barley. Gentle, malty caramel flavors. Enhances mouthfeel. Adds deep
red color. Promotes flavor stability. Flavor: notes of toffee, caramel and bread","Bock Beer; Ale; Brown Ale; Lager; Kellerbiere; Amber Lager; Irish-Style Red Ale;
October Beer; Maerzenbier; Mai-Bock;"
"181","Brewers","37","1.037","2","4.2","0","79.5","0","0","0","0","1.8","1.8","0","11.5","0","0","42","42","42","42","0","0","140","100","Clean, sweet, mild malty ? Malted in small batches, making it an excellent fit for small batch craft brewing;","use as base malt for all styles"
"182","Full Pint Brewers","37","1.037","2","4.6","0","80","0","0","0","0","1.7","1.7","0","11.2","0","0","40.8","40.8","40.8","40.8","0","0","150","100","Clean, sweet, mild malty ? Single varietal base malt; contributes a light straw color",""
"183","Synergy Select Pilsen","38","1.038","2","4.5","0","82.4","0","0","0","0","1.8","1.8","0","10.9","0","0","42","42","42","42","0","0","100","100","Balanced malty flavor with subtle honey, bready and cracker notes ? A true European-style Pilsen Malt"," European style Pilsners and Lagers"
"184","Pilsen","37","1.037","2","4.5","0","78","0","0","0","0","1.2","1.2","0","11.3","0","0","37","37","37","37","0","0","140","100","Clean, sweet, delicately malty ? Lightest color base malt available; produces light colored, clean, crisp wort; excellent choice for lagers","Lagers"
"185","Wheat, White","39","1.039","2","5","0","84","0","0","0","0","2.8","2.8","0","11.5","0","0","41","41","41","41","0","0","120","0","Sweet, malty, wheat, mild bread dough ? Use as part or all of base malt in wheat beers; improves head and head retention in all styles","All"
"186","Wheat, Red","38","1.038","2","5","0","79","0","0","0","0","3","3","0","12.5","0","0","39","39","39","39","0","0","110","0","Creamy, sweet, malty, wheat flour ? Use as part or all of base malt in wheat beers; runs efficiently through the brewhouse"," Hefeweizen and other traditional wheat styles"
